title,release_date,metascore,poster_url,url
Dekalog (1988),"Mar 22, 1996",100,https://www.metacritic.com/a/img/resize/2162216e0eddb77ee2faa85f1cd7c7ca5a0026b9/catalog/provider/2/2/2-33ff5c9171bee2da94bcbe5abcae60fd.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/dekalog-1988/
Three Colors: Red,"Nov 23, 1994",100,https://www.metacritic.com/a/img/resize/9181df467182536fd5b68b064217a16a8720a97e/catalog/provider/2/2/2-bee46070b1964833c696e09ad13f72fe.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/three-colors-red/
Casablanca,"Jan 23, 1943",100,https://www.metacritic.com/a/img/resize/78c048faee35bacbfc0cb239831a7c7e50fcab7a/catalog/provider/2/2/2-d377eed3f868f2f56e42767822188b73.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/casablanca/
The Leopard (re-release),"Aug 13, 2004",100,https://www.metacritic.com/a/img/resize/4236100026e3852c27d0402f3e15faf84c9277d3/catalog/provider/2/2/2-3ca5c775436114bc6d99f12ae3dace0a.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/the-leopard-re-release/
Lawrence of Arabia (re-release),"Sep 20, 2002",100,https://www.metacritic.com/a/img/resize/ec76d64ca9f1f4d310412559f1a0c608d5970e95/catalog/provider/2/2/2-0d39c766b1fa2252bd609e914d0647af.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/lawrence-of-arabia-re-release/
Tokyo Story,"Mar 13, 1972",100,https://www.metacritic.com/a/img/resize/6f8e7996250da0e01df62c2b01a1c01ff9466b72/catalog/provider/2/2/2-7588bc24cecfa69cdf24798d48b0491c.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/tokyo-story/
The Godfather,"Mar 24, 1972",100,https://www.metacritic.com/a/img/resize/77d5d0bdf680af8d397d7c648d3675323e0e1c06/catalog/provider/2/2/2-40b421c7cfe1b3059d5e50d79e968270.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/the-godfather/
Citizen Kane,"Sep 4, 1941",100,https://www.metacritic.com/a/img/resize/b6f5368a0598a7692eb50d6ca219d64a49a46ee1/catalog/provider/2/2/2-16b148bab11c417f2b2ca06404a8c514.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/citizen-kane-1941/
The Conformist,"Oct 22, 1970",100,https://www.metacritic.com/a/img/resize/1fd4889917b24ad7003586ee84ed5f7a151199fb/catalog/provider/2/2/2-dd018c5d82b77507bdac403f5f7c217b.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/the-conformist-re-release/
Boyhood,"Jul 11, 2014",100,https://www.metacritic.com/a/img/resize/5e2347af172196e6c7076494b7e8ce26fd832f72/catalog/provider/2/2/2-e25db87c9adea62102834d1cc06d3705.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/boyhood/
Rear Window,"Sep 1, 1954",100,https://www.metacritic.com/a/img/resize/d684a092f00c5b2a0cbb30f45bbb4455c29c6165/catalog/provider/2/2/2-5e97d33d56f0568dd7ef759bcf9cf360.jpg?auto=webp&fit=cover&height=132&width=88,https://www.metacritic.com/movie/rear-window/
